Original_Index,SA2,Price,Z-Score,SA2_Mean,SA2_Std,Deviation_From_Mean,Address,Suburb,Bedrooms,Bathrooms,Floor_Area,Land_Area
26323,Lesmurdie - Bickley - Carmel,1600000,3.4123040017297273,561552.7089072544,304324.37747819285,1038447.2910927456,59 Heidelberg Road,Bickley,5,3,298,16187
7315,Trigg - North Beach - Watermans Bay,2375000,3.4042368960445635,1050076.9719887956,389198.24573626276,1324923.0280112044,16 Leach Street,Marmion,4,4,350,480
31818,Singleton - Golden Bay - Secret Harbour,925000,3.3885670483077637,461583.0091324201,136758.98521736744,463416.9908675799,84 Marillana Drive,Golden Bay,4,3,291,885
28730,Casuarina - Wandi,1020000,3.384882155328175,377879.49912587414,189702.4686260814,642120.5008741259,7 Ara Cove,Wandi,4,2,266,20100
1440,Willagee,2250000,3.3824406579762765,873653.9904761905,406909.1371280054,1376346.0095238094,10 Tanson Street,Attadale,5,3,470,893
14937,Noranda,950000,3.380432149252495,531253.3333333334,123873.70850181472,418746.6666666666,27 Broun Avenue,Embleton,5,2,414,748
31882,Piara Waters - Forrestdale,1250000,3.3744714448200366,469187.012718601,231388.23369804525,780812.9872813991,85 Honeymyrtle Loop,Forrestdale,4,2,231,23506
14273,Piara Waters - Forrestdale,1250000,3.3744714448200366,469187.012718601,231388.23369804525,780812.9872813991,25 Vincent Lookout,Bedfordale,5,3,384,16602
3735,Trigg - North Beach - Watermans Bay,2360000,3.365696126232963,1050076.9719887956,389198.24573626276,1309923.0280112044,12 Lynn Street,Trigg,4,3,285,847
6888,Bayswater - Embleton - Bedford,1475000,3.364616634439473,706717.0234899329,228341.9063693891,768282.9765100671,157 Tenth Avenue,Inglewood,3,3,344,731
19633,Kalamunda - Maida Vale - Gooseberry Hill,1175000,3.361690225337174,479757.75092421443,206813.29999882824,695242.2490757855,364 Padbury Avenue,Herne Hill,3,2,289,62650
13624,Jandakot,1135000,3.357907056885384,564175.6062992126,169994.101692098,570824.3937007874,24 Lakes Way,Jandakot,5,2,327,10127
